debtor_name,Primary Phone,sunbiz_email,Agent Name,Agent Address,Filing Date,Principal Address,Officer Names,enhanced_distress_level,city,sunbiz_doc_num
HICKS SEAFOOD HOUSE OF APOPKA,407-255-0538,hicksseafoodapk@gmail.com,,",  ",,",  ","WILLIAM HICKS, WILLIAM HICKS",MODERATE,APOPKA FL,L23000535473
PAPY'S BURGER LLC,786-512-5284,larrylinares2014@gmail.com,,",  ",,",  ","KEVIN HERNANDEZ URREGO, BARBARA CARRENO CALDERA, LARRY LINARES MELERO, BARBARA CARRENO CALDERA",MODERATE,MIAMI,L21000356845
VANTAGE POINT COFFEE LLC,904-415-9275,info@vantagepointcoffee.com,,",  ",,",  ","Leo           BII Baker, LEONARD       BII BAKER",MODERATE,JACKSONVILLE,L19000239984
TAQUERIA ANGEL LLC,863-804-2763,maldonado_solutions@outlook.com,,",  ",,",  ","Nadia         E Ballin Hernandez, Nadia         E Ballin Hernandez",MODERATE,MULBERRY,L22000363189
ROXY'S PUB,561-296-7699,HOMESBYWEN@YAHOO.COM,,",  ",,",  ","WENDOLYN KINDELAN RODRIGUEZ, WENDOLYN KINDELAN RODRIGUEZ",MODERATE,WEST PALM BEACH,G24000133719
"HERRON REAL ESTATE, LLC",904-239-8073,rpd13131@yahoo.com,,",  ",,",  ","BENJAMIN POWELL, DARREN SINOPOLI, STEPHEN MCLEOD, STEPHEN       T MCLEOD, CHRISTINE     J HERRON",MODERATE,PONTE VEDRA BEACH,P19000035393
KING SEAFOOD LLC,305-923-5649,KINGSEAFOOD@ICLOUD.COM,,",  ",,",  ","ALBERTO SOLIS, JORGE TANREIRO, CARLOS        R ROSADO, JORGE MARIN, JORGE MARIN",MODERATE,MARATHON,P95000033417
THE OWL SMOKE SHOP,813-843-9386,twoolfolk@wyattfirm.com,,",  ",,",  ","JOSE CASSO, JAROLI CASSO, JAROLI        A CASSO, MARY          E ANDERSON",MODERATE,BRANDON,P22000052426
"WILTON WINGS, LLC",954-462-9696,PAULAPACE@COMCAST.NET,,",  ",,",  ","SOLOMON KEDMI, SOLOMON KEDMI, PAULA PACE, PAULA PACE",MODERATE,FORT LAUDERDALE,P07000103038
GOLDEN KRUST,407-394-9228,DANIELLEPAPPAS@BELLSOUTH.NET,,",  ",,",  ","DANIELLE      S PAPPAS, DANIELLE      S PAPPAS, BRANDON       L FALCON, BRANDON       L FALCON",MODERATE,WEST PALM BEACH,G21000029931
PANFRIDAYS LLC,954-812-4279,muschette0606@gmail.com,,",  ",,",  ","DAVE WILT, DAVE WILT, THEADORE MUSCHETTE, THEADORE MUSCHETTE",MODERATE,LAUDERHILL,L15000066704
CIRCLE GRILL LLC,850-263-3292,,,",  ",,",  ",,MODERATE,GRACEVILLE,204048
LATIN CREATIONS LLC,904-705-5406,,,",  ",,",  ",,MODERATE,JACKSONVILLE,G68608
"SHORE THANG, LLC",706-570-1513,ctobeyka@gmail.com,,",  ",,",  ","Jennifer      L Tobey, Robert        PII Roeper, CRAIG         T TOBEY, Robert        PII Roeper",MODERATE,ODESSA,L16000228587
"TRIPLE CROWN TRAILERS, LLC",352-377-0510,,,",  ",,",  ",,MODERATE,OCALA,G28217
"RAVISH, LLC",706-504-7308,hello@ravishkitchen.com,,",  ",,",  ","RYAN GIFFIN, JORDAN RAMBIN, ALEXANDRA DUPUIS, ALEXANDRA DUPUIS",MODERATE,LANTANA,L18000289891
EUPHORIA SUSHI BAR & LOUNGE LLC,386-222-9668,abello@aventuslawgroup.com,,",  ",,",  ",GALAN FRAWING,MODERATE,KISSIMMEE,L21000355525
C$C COOK LLC,407-255-0211,sgreeneiv@gmail.com,,",  ",,",  ","SUE           E GREENE, SUE           E GREEENE",MODERATE,DAVENPORT,L19000202618
LA MICHOACANA PALETERIA INC,850-708-2340,TCALVO@qualitywebplus.com,,",  ",,",  ","NORBERTO BENITEZ-CALDERON, NORBERTO BENITEZ-CALDERON, TITO          E YANEZ-CALVO, TITO YANEZ-CALVO, TITO YANEZ-CALVO",MODERATE,PANAMA CITY,P08000073334
EMPAISANAS LLC,305-721-6565,empaisanas@gmail.com,,",  ",,",  ","CHAVANNE ALTEME, CHAVANNE ALTEME, Nataly Munoz, NATALY MUNOZ",MODERATE,MIAMI,L21000058365
"CAFE FIORE, LLC",352-789-6980,JOMO.REEVES@GMAIL.COM,,",  ",,",  ","NICHOLAS      A MASTROIANNI, DONALD        MEsq. ALLISON, JENNIFER ELLIS, ANGEL         R ASTACIO, WHITNEY       M ASTACIO",MODERATE,ST. AUGUSTINE,F12000000233
"BAKER, INC.",513-325-2110,,,",  ",,",  ",,MODERATE,PALMETTO,145257
"OLDE CYPRESS DEVELOPMENT, LTD",239-596-4797,,,",  ",,",  ","FRANK         D TEETS, JR., RENEE TOLSON, ROBERT        P HARDY, LEO           J SALVATORI",MODERATE,NAPLES,P97000083910
"LAN XANG-LAO.THAI.VIETNAMESE.DIM SUM, LLC",239-398-2962,lavinahanlotxomphou@gmail.com,,",  ",,",  ","RAFAEL LINTHAVONG, K. LAVINA HANLOTXOMPHOU, LAVINA        K HANLOTXOMPHOU",LOW,FORT MYERS,L17000261897
LOS TAQUITOS MEXICAN FOOD II LLC,239-410-6994,Aury25.ac@gmail.com,,",  ",,",  ","aurybel castillo, Aurybel Castillo",LOW,CAPE CORAL,L20000148995
LOCAL GARAGE DOOR REPAIR INC,310-717-1732,JESSICASEROTA@YAHOO.COM,,",  ",,",  ","DANNY ATAR, Danny Atar, JESSICA REILLY, MICHAEL       C UNGER, MARC SEROTA",LOW,NORTH BAY VILLAGE,P22000089098
PISTACHO'S BAKERY AND CAKE LLC,407-448-9183,leroingroup@gmail.com,,",  ",,",  ","ORIANA RAMOS, CARMEN        L ZORRILLA, RICARDO       D RAMOS, ORIANA        D RAMOS",LOW,DAVENPORT,L20000282614
LA TINAJA BAR AND GRILL LLC,978-645-1407,lifinancialgroup@yahoo.com,,",  ",,",  ","DENNY         A TINEO, ADOLFO POLANCO, ADOLFO POLANCO",LOW,SPRING HILL,L24000228282
MOREL'S BAR & GRILL CORP,407-308-1131,bjt@bjtlawpa.com,,",  ",,",  ","LUIZ FELIPE BORGES, BRUCE         JESQ. TOLAND, EDWARD        I MOREL, MARIA         C MOREL, MARIA         C MOREL",LOW,PALM BAY,P19000031424
"CHARLOTTE HARBOR YACHT CLUB, INC",941-629-5131,manager@charlotteharboryc.com,,",  ",,",  ",,LOW,PORT CHARLOTTE,726150
"TIKI TIMS, LLC",727-290-5274,tikitims2020@gmail.com,,",  ",,",  ","TIMOTHY ESKRIDGE, SHANI DUVALL, SHANI DUVALL, ALEXANDER RANGEL, ALEXANDER RANGEL",LOW,PINELLAS PARK,L24000054131
COSTENOS SEA FOOD CORP,305-934-5493,jay@marjacsolutions.com,,",  ",,",  ","ALEXANDER LEON ROCHA, ALEXANDER LEON ROCHA, JAY           E HIGHLEY, JAY           E HIGHLEY",LOW,KEY BISCAYNE,P20000073764
"MACKER SEAFOOD, LLC",386-290-1306,tristanmacker@gmail.com,,",  ",,",  ","LINDA         G WHITRIGHT, CHARLES       H WHITRIGHT, CHARLES       H WHITRIGHT, Jonathan      L Macker, TRISTAN       T MACKER",LOW,DAYTONA BEACH,L11000089999
GLOBAL CONQUEST HOLDINGS LLC,239-293-2009,Tamika@growyournon-profit.com,,",  ",,",  ","DARREL PETERS, Tamika Seaton, Tamika Seaton",LOW,BONITA SPRINGS,L22000430011
"DE LEON FOOD SERVICES, INC",305-362-6454,ONLINEFILINGS@LEGALZOOM.COM,,",  ",,",  ","ERIC          D STRAUSS, ADAM          J SCHWARTZ, ALEXANDRA     T STRAUSS, Eric STRAUSS, PELAGIA       T PENA",LOW,HIALEAH,P15000010927
ATOMIC LOUNGE AND BAR L.L.C.,786-315-6818,torerosbrazilian@gmail.com,,",  ",,",  ","RACHEL GARCES, ALEJANDRO MARQUEZ PAYNE, OMAR BLANCO, OMAR BLANCO",LOW,MIAMI,L21000163645
MANAGUITA RESTAURANT CORP,305-256-0663,toriprintusa@gmail.com,,",  ",,",  ","KAREN WILLIAMS, LINDA CARTER, TASHA SMITH, JANET REYNOLDS, LINDA CARTER",LOW,MIAMI,P21000008698
WILD OLIVES MARKET LLC,850-259-3541,WILDOLIVES@MCHSI.COM,,",  ",,",  ","GONZALO NAVARRO, GONZALO NAVARRO, CHRIS         M TROVAS, Ivy           M Smith",LOW,SANTA ROSA BEACH,L08000100719
"NEW YORK/ROMA PIZZA & PASTA, CORP.",786-443-4696,Tomaseuvind@gmail.com,,",  ",,",  ","TOMAS         A EUVIN, TOMAS         A EUVIN",LOW,MIAMI,P02000127371
AMERICAN GRACE LLC,561-414-0778,morganshae21@icloud.com,,",  ",,",  ","RIISE MORGAN, SAMUEL RIISE",LOW,TRENTON,L23000435766
PAL' BALCON JSJ BLESSED LLC,215-436-3442,SADIANY72@GMAIL.COM,,",  ",,",  ","JANELYS ESCOBAR RODRIGUEZ, SUJEY         S RODRIGUEZ GUZMAN",LOW,KISSIMMEE,L21000428694
OAK & STONE INC.,407-267-3513,bgrandison@bergersingerman.com,,",  ",,",  ","CARLOS        J BENCOMO, CARLOS        J BENCOMO, John          M Ryan",LOW,VANCOUVER,L07000116351
"OASIS ROTISSERIE CHICKEN, LLC",727-226-5117,VIOLETSANTANA1263@GMAIL.COM,,",  ",,",  ","Violeta De Jesus, Violeta De Jesus",LOW,TAMPA,L17000156801
"MANASOTA KEY REALTY, INC.",941-474-9536,davidlipstein@englewoodfl.com,,",  ",,",  ",,LOW,ENGLEWOOD,684357
ELITE PRIVATE DINING LLC,863-512-3538,Eliteprivatediningkt@gmail.com,,",  ",,",  ","Kevin         J Torres, KEVIN         J TORRES",LOW,WEST PALM BEACH,L22000445649
REEL CAJUN COOKIN LLC,321-698-7655,reelcajuncookin@yahoo.com,,",  ",,",  ","KAAN BECK, BRADLEY       T BENSON, KAAN BECK, Sean          D Rocque, SHEENA        N ROCQUE",LOW,COCOA,L20000078215
"AKI E RESTAURANT BAR, INC.",754-210-3181,Office@menefeeservices.com,,",  ",,",  ","ADRIA         M RODRIGUEZ, KATIE MENEFEE, DANIEL MENEFEE, KATIE MENEFEE",LOW,HOLLYWOOD,P21000056236
EL SAZON DE PUERTO RICO CORP,786-767-0230,Michigr27@gmail.com,,",  ",,",  ","KARINA        C MORALES, KARINA        C MORALES, RODRIGO       A SANCHEZ ACEVEDO, RODRIGO       A SANCHEZ ACEVEDO",LOW,MIAMI,P22000047710
NGUYEN TUAN HOANG,303-220-0183,,,",  ",,",  ",,LOW,CLERMONT,
"SABOR MARACUCHO, LLC",786-475-0547,ilbelismorales18@gmail.com,,",  ",,",  ","YULEIDIS FERNANDEZ NORIEGA, IBELIS MORALES FERNANDEZ, IBELIS MORALES FERNANDEZ",LOW,BRADENTON,L23000331022
"PHO VIET NOODLE HOUSE & RESTAURANT II, INC.",321-837-3737,LCGREEN561@GMAIL.COM,,",  ",,",  ","KATHY NGUYEN, TRACY NGUYEN, TRACY NGUYEN, LARRY         JR GREEN, LARRY         JR GREEN",LOW,PALM BAY,P18000099850
LA CAFETERA INC,786-260-4096,rmamin93@gmail.com,,",  ",,",  ","JOHN FERNANDEZ, JOHN FERNANDEZ, SARINA        M AMIN, RIKHIL        M AMIN",LOW,HIALEAH,P19000058682
"EL SAZON DE PUERTO RICO, INC.",786-767-0230,Michigr27@gmail.com,,",  ",,",  ","KARINA        C MORALES, KARINA        C MORALES, RODRIGO       A SANCHEZ ACEVEDO, RODRIGO       A SANCHEZ ACEVEDO",LOW,MIAMI,P22000047710
"PHO VIET NOODLE HOUSE & RESTAURANT, INC.",321-837-3737,MAUMOR@GMAIL.COM,,",  ",,",  ","Duc Pham, KATHY NGUYEN, TRACY         T NGUYEN, Tracy         T Nguyen, MAURICIO      G MORALES",LOW,PALM BAY,P15000072384
"PERDIGON EL SABOR, INC.",813-932-3949,INGRIS@FCPMIAMI.COM,,",  ",,",  ","ARIANA RODRIGUEZ DE PERDIGO, WILMER PERDIGON, WILMER PERDIGON, MIGUEL POYASTO, JOSE          L MACHADO",LOW,TAMPA,P04000042033
"HAVANA SPICE, INC.",786-205-9215,MAVERICKHI2017@YAHOO.COM,,",  ",,",  ","ERIKA         E GALINDO, JUAN DE DIOS SANCHEZ SOLIS, JUAN DE DIOS SANCHEZ SOLIS, LEROY MARSDEN, LAWRENCE      J GENTILE",LOW,HOMESTEAD,P17000014333
"SOUTHERN STYLE FARMSHACK BAR B QUE, LLC",352-581-9859,farmshackbbque@gmail.com,,",  ",,",  ","CARROLL       W STEPHENS, CARROLL       W STEPHENS, TERRI         L ROBERTSON, KAZZ          R ROBERTSON, KAZZ          R ROBERTSON",LOW,OCALA,L21000101127
"BLISS POIGNT, LLC",985-445-5602,Obscurewine@gmail.com,,",  ",,",  ","SERGEI OSIPOV, SERGEI OSIPOV, Stephen Vallette, Stephen Vallette",LOW,WINTER HAVEN,L22000091700
"JUGO BOSS, LLC",954-773-4300,Jugobossfl@gmail.com,,",  ",,",  ","MARIANA URIBE, DIEGO URIBE, MARIANA URIBE",LOW,LIGHTHOUSE POINT,L22000246969
DELICIAS LA PRIMA CORP,786-474-8106,DOCS@INCAUTHORITY.COM,,",  ",,",  ","KAREN         J PINEDA, KAREN         J PINEDA, GLADYS YATCO",LOW,MIAMI,P24000026102
TAQUERIA Y ANTOJITOS EL GUANACO LLC,954-351-0792,cristinaardon285@gmail.com,,",  ",,",  ","CAROL FERNANDEZ, AD JACKSON, AD JACKSON, CRISTINA ARDON, Cristina      G Ardon",LOW,OAKLAND PARK,L16000056424
FOUR POINT LLC,850-393-7905,rick5491@yahoo.com,,",  ",,",  ","KOMAL PATEL, DIVYESH       K ZAVERI, NILAY         J PATEL, RINKESH PATEL, RINKESH PATEL",LOW,TALLAHASSEE,L21000197866
LOS HOMIES  LLC,727-421-8884,loshomies82@gmail.com,,",  ",,",  ","EDITH CONDADO, JENNIFER WONG, CARLOS        A WONG MALIBRAN, CARLOS        A WONG MALIBRAN",LOW,PINELLAS PARK FL,L20000253985
STRAWLICIOUS LLC,407-235-0111,strawliciousllc@gmail.com,,",  ",,",  ","ANA           C CORONEL REYES, JESSICA       C CORONEL REYES, HUGO          A CORONEL REYES, HUGO          J CORONEL BARRENO, HUGO          J CORONEL BARRENO",LOW,ORLANDO,L23000556209
"EL RINCONSITO DEL SABOR, LLC",407-591-0290,ashleyangelique2010@hotmail.com,,",  ",,",  ","RAFAEL        D URBINA RIVERA, NORA EUCEDA QUIROZ, NORA EUCEDA QUIROZ",LOW,PLANT CITY,L19000300371
HONDURAS RESTAURANT LLC,813-781-5516,ashleyangelique2010@hotmail.com,,",  ",,",  ","RAFAEL        D URBINA RIVERA, NORA          V EUCEDA QUIROZ, NORA          V EUCEDA QUIROZ",LOW,TAMPA,L22000140607
PAIGE'S ROOT BEER INC,352-746-3351,TTAXSERVICES@YAHOO.COM,,",  ",,",  ","Isis          M Graham, MICHAEL       R PENDER JR, MICHAEL       R PENDER JR, Michael       J Maxwell, KEVIN         L PAIGE",LOW,LECANTO,P12000005172
"VARGO'S BUFFALO STYLE PIZZA, LLC",716-800-5225,VARGOSPIZZERIA@GMAIL.COM,,",  ",,",  ",ROBERT VARGO,LOW,STEINHATCHEE,L24000300176
WINDMILL POINT APARTMENTS LLC,407-236-7550,barrywatson@bellsouth.net,,",  ",,",  ","THOMAS LEVASSEUR, ROBERT MURPHEY, ROBERT MURPHEY, BARRY         L WATSON",LOW,ORLANDO,L06000052882
"DELICIAS DE LA ABUELA, INC",561-827-5041,jodystaples.kw@gmail.com,,",  ",,",  ","LUIS          E SAAVEDRA, ANA           M VALENCIA, ANA           M VALENCIA, DANIEL JENKS, JOHN STAPLES",LOW,WEST PALM BEACH,P06000055764
DOM PARTNERS LLC,352-572-6083,tkmcdonald4321@gmail.com,,",  ",,",  ","Kristin       M McDonald, THOMAS        M MCDONALD, THOMAS        M MCDONALD",LOW,OCALA,L13000118930
"BOB'S FAMOUS BBQ, INC",904-588-5391,hicks@200firstsreet.com,,",  ",,",  ","EDWARD        S JONES, DERRICK TURNER, Brian Baker, DERRICK TURNER",LOW,YULEE,P18000042866
BIG RANDY'S CORPORATION,850-694-1528,Dfordevon@gmail.com,,",  ",,",  ","JASON KORNEGAY, DEVON CHRISTENSON, DEVON CHRISTENSON",LOW,TALLAHASSEE,P23000027292
"EL HABANERO CAFE CUBANO,INC",305-414-3734,zq@nwpus.com,,",  ",,",  ","YOANDYS ACOSTA, MERCEDES GONZALEZ, MERCEDES GONZALEZ, ZAHERUL QUADER, ZAHERUL QUADER",LOW,KEY WEST,P19000094570
YAMBO EXPRESS INC,786-470-0046,REESE.GRANT@NMRK.COM,,",  ",,",  ","REESE GRANT, REESE GRANT, CHRISTINE SHEPARDSON, TISHA MCCOLLUM, ACACIA MCCOLLUM",LOW,MIAMI,P25000003647
TYPSY UNICORNS BREWING CO. LLC,386-444-3047,orders@newbusinessfiling.org,,",  ",,",  ","MICHELLE      B RIVERA, RAUL          JR RIVERA, RAUL          JR RIVERA",LOW,EDGEWATER,L21000337315
JOJOTO STEAK HOUSE LLC,321-695-2481,Jojoto.steakhouse@gmail.com,,",  ",,",  ",JUDITH        M RIVAS DE MORENO,LOW,KISSIMMEE,L22000186900
MR. CREAM NY LLC,917-355-8157,gogleth2020@gmail.com,,",  ",,",  ","MARIA         S ORTIZ, MARIA         S ORTIZ",LOW,MIAMI,L22000382902
ISLAND BOYZ BBQ LLC,863-255-1588,islandboyzbbq6@gmail.com,,",  ",,",  ","Tonya         E Teems, Tonya         D Teems",LOW,WESLEY CHAPEL,L23000288842
SUNSET PALM HOTEL LP,786-436-6362,ap@wbfinancialadvisors.com,,",  ",,",  ",,LOW,DAVENPORT,A19000000551
VARGOS BUFFALO STYLE PIZZA LLC,716-800-5225,,,",  ",,",  ",,LOW,STEINHATCHEE,
EL BODEGON IBERICO INC,305-562-5727,ROLLINGSTONEAUTOMOTIVES@YAHOO.COM,,",  ",,",  ","RONNIE        L HOGGINS, IRIS          L MINOR, IRIS          L MINOR, YOANDRY       M YZQUIERDO, YOANDRY       M YZQUIERDO",LOW,CAPE CORAL,P17000087879
SMOKIN 407 LLC,407-748-6077,Ryanstackpole@smokin407.com,,",  ",,",  ","ELEK          E KONDAKOR, ELEK          E KONDAKOR, KRISTYN STACKPOLE, RYAN          E STACKPOLE, Ryan Stackpole",LOW,SANFORD,L21000098817
YEAH HOT DOG LLC,689-322-7922,pago@gncconsultants.com,,",  ",,",  ","JUAN          C SILVA, NALYS         C IZARRA YABBOUR, NALYS         C IZARRA YABBOUR",LOW,ORLANDO,L21000354871
FERNANDEZ LEYVA CORP,786-319-6536,alyssaneufeld@gmail.com,,",  ",,",  ","YORDAN FUENTES FERNANDEZ, YAIMA LEYVA BATISTA, YAIMA LEYVA BATISTA, MATTHEW NEUFELD, ALYSSA NEUFELD",LOW,HOMESTEAD,P23000066413
TACOS PARADISE INC,239-257-8828,fastfilingservices@gmail.com,,",  ",,",  ","JORGE LUIS ANDRADE LANDIN, JORGE LUIS ANDRADE LANDIN, ANTONIO COELHO, NATHALIE COHEN",LOW,CAPE CORAL,P24000048467
"TROPICAL KITCHEN, BAR & GRILL LLC",305-494-8015,Tropicalkitchen24@yahoo.com,,",  ",,",  ","JEANAY        J WALKER, JEANAY        JMISS WALKER",LOW,LAUDABLE LAKES,L24000233968
A GEEZ GROUP LLC,239-984-3098,agallagher@cleaneatz.com,,",  ",,",  ","ADAM          M GALLAGHER, ADAM          M GALLAGHER",LOW,FORT MYERS,L23000105896
STROBES CENTER INC.,941-962-6690,pierrejacqueline@ymail.com,,",  ",,",  ","Armando Aguilar Aguinaga, GREGORY PIERRE, JACQUELINE PIERRE, JACQUELINE PIERRE",LOW,SARASOTA,P21000094240
YAADMAN KITCHEN JAMAICAN RESTAURANT LLC,561-255-4250,realyaadmankitchen@gmail.com,,",  ",,",  ","Garfield Kelly, BRANDON GORDON, BRANDON GORDON",LOW,BOYNTON BEACH,L20000182275
"EL CONUCO EXPRESS, LLC",850-264-0285,elconucoexpres@gmail.com,,",  ",,",  ","DANAY OTERO, DANAY OTERO, HORTON GISELLE, MOLINA STEVEN, STEVEN MOLINA",LOW,TALLAHASSEE,L25000022224
LOS QUESUDOS DE MEDALLO MIDTOWN LLC,786-999-2354,INFO@LNACCOUNTINGSVC.COM,,",  ",,",  ","YENNY         A CORREA ARISTIZABAL, JOAN          A VARGAS, YENNY         A CORREA  ARISTIZABAL",LOW,MIAMI,L20000376885
LOGA COMPANY LLC,689-287-4168,SINAITAXSERVICES@GMAIL.COM,,",  ",,",  ","SOPHIA        M HERNANDEZ, RYAN          F HERNANDEZ, PATRICIA      F HERNANDEZ, RICHARD       F HERNANDEZ, RICHARD       F HERNANDEZ",LOW,ORLANDO,L24000057128
WOODSBY'S CAFE LLC,407-932-2252,Woodsbyscafe22@gmail.com,,",  ",,",  ","ADAM HARTMANN, ADAM HARTMANN",LOW,KISSIMMEE,L22000191729
ZAMAR RESTAURANTS LLC,813-732-7132,Zamarrestaurants@gmail.com,,",  ",,",  ","Ebony LEFRANC, MACKENLEY ABRAHAM,, BAZIN TERNIVAL, OTNIEL        J LEFRANC, OTNIEL        J LEFRANC",LOW,TEMPLE TERRACE,L21000307065
"SHEN'S PEKING II RESTAURANT, INC.",561-482-1086,idillon@comcast.net,,",  ",,",  ","INGRID DILLON, Natallia      C Olender, Su-Mei SHEN, Su-Mei SHEN",LOW,BOCA RATON,P99000008531
SURLY SIREN SALOON LLC,702-918-4546,surlysirensaloon@gmail.com,,",  ",,",  ","CRISTINA VAN HOOVE, Cristina      L Van Hoove",LOW,KEY WEST,L23000198387
JD RICKETTS GROUP LLC,203-578-7795,,,",  ",,",  ",,LOW,MIAMI GARDENS,
JONAS' KITCHEN LLC,239-357-5700,heather.desanto7@gmail.com,,",  ",,",  ","JONAS         NSR ELLIOTT, JONAS         NSR ELLIOTT",LOW,FORT MYERS,L21000156510
LATIN BOWL RESTAURANT INC,813-446-8207,Hypecentral305@gmail.com,,",  ",,",  ","ANA           R FIGUEROA, fernando perez, FERNANDO PEREZ, ROBERT        C WETZEL III, ERICK MARTINEZ",LOW,LARGO,P18000069481
THE TWO BROTHERS FL LLC,786-859-5657,ferdinand@miamitg.com,,",  ",,",  ","MARCO ANTONIO DAGA AMAYA, FERDINAND TORO",LOW,HOLLYWOOD,L23000447658
PARRILLADA CASA AMIGOS LLC,561-404-3022,dorian.businessabs@gmail.com,,",  ",,",  ","SANDRA VARELA CASTILLO, SANDRA VARELA CASTILLO",LOW,PALM SPRINGS,L24000474864
ALPHA & COISE ENTERPRISE LLC,850-339-6632,alphacoise@gmail.com,,",  ",,",  ","FRANCOISE MURRAY, DEMETRIUS MURRAY, DEMETRIUS MURRAY",LOW,TALLAHASSEE,L24000378700
BIG G MANAGEMENT LLC,352-454-2686,flippedbybgm@gmail.com,,",  ",,",  ","YAISANETTE Ruiz, DAVID GONZALEZ, DAVID GONZALEZ",LOW,LECANTO,L17000134907
"EZ EATS , LLC",724-498-7777,Eliezeats@gmail.com,,",  ",,",  ","ELIJAH ELLIS, JAY HUIE",LOW,ORLANDO,L20000183054
YBC FOOD SERVICE LLC,954-934-5700,BMG10406412@GMAIL.COM,,",  ",,",  ","BORRIS        B HUTCHINSON, YOHAN         A BLAKE",LOW,OAKLAND PARK,L24000405437
THEE BURGER SPOT LLC,813-993-3926,Elcaminoislow@aol.com,,",  ",,",  ","Constance Hill, Constance Hill",LOW,TAMPA,L16000140678
SEAFOAM DREAMS VACATIONS LLC,850-320-2994,mezmriz1987@yahoo.com,,",  ",,",  ","JEREMY        B DRUMMOND, NATALIE       A DRUMMOND, NATALIE       A DRUMMOND",LOW,DESTIN,L22000126464
WEEKI WACHEE CANDY COMPANY,813-598-6786,AKHAVEINE@YAHOO.COM,,",  ",,",  ","Michele S. Eline, Juan Carlos Reyes, James Robert Jones, Amy Mierzejewski, Brittany Bethune",LOW,SPRING HILL,P18000010700
SHAWARMAS TO GO LLC,689-333-8959,MAGALYNFMS@GMAIL.COM,,",  ",,",  ","KELLY         E CONTRERAS, KELLY         E CONTRERAS, HECTOR ASAPCHE MUKEL, ANTONIO ASAPCHE, ANATHAIS BETANCOURT",LOW,ORLANDO,L20000050485
BRAPPIN CRABS LLC,407-267-7746,,,",  ",,",  ",,LOW,ORLANDO,
LUXE PERSONAL CHEF & CATERING LLC,850-321-2495,,,",  ",,",  ",,LOW,TALLAHASSEE,
OSECHA GROUP LLC,786-973-3908,apassotaxservices@gmail.com,,",  ",,",  ","GRECIA SALCEDO, WILDER OSECHA, ANGELA        M PASO",LOW,MIAMI,L24000363399
ISLAND CUISINE RESTAURANT,954-648-4020,,,",  ",,",  ",,LOW,WILTON MANORS,
ISLAND TIME MARINA LLC,321-274-7104,carolann@taylorlockard.com,,",  ",,",  ","GERARDO       M ROBLES, GERARDO       M ROBLES, GERARDO       M ROBLES, James         F Stadler, JAMES         F STADLER",LOW,COCOA BEACH,L14000024474
EL RINCONCITO LATINO RESTAURANT CAFETERIA INC,786-636-8092,state@businessfilingsdepot.com,,",  ",,",  ","JOSE          M MORENO, JOSE MORENO, ROCIO         G CARUSO, Rocio         G Caruso",LOW,MIAMI,P13000050442
"NENA'S WINGS & THINGS, LLC",407-217-4473,nenas.wings.things@outlook.com,,",  ",,",  ","NENA          M BEERY, NENA          M BEERY",LOW,UMATILLA,L24000264151
G'S WINGS N THINGS LLC,631-633-6635,geeswingsnthings@gmail.com,,",  ",,",  ","GERALD        M SEABURY, GERALD        M SEABURY",LOW,RIVERVIEW,L21000259225
"HOOKED ON JUPITER, LLC",561-203-2301,arthur@b-hooked.com,,",  ",,",  ",,LOW,JUPITER,L24000116498
"LEICESTERMORE CAPITAL, LLC",561-837-1972,jcm@leicestermorecapital.com,,",  ",,",  ","ERNESTO MEDEROS RODRIGUEZ, ERNESTO MEDEROS RODRIGUEZ",LOW,JUPITER,L20000077447
UPPERTEA LLC,305-409-6566,info@uppertea305.com,,",  ",,",  ","JANEE         E SHEFFIELD, JANEE SHEFFIELD",LOW,MIAMI,L20000344313
"MAJOR UNIVERSAL LODGING, LLC",407-312-6551,alpie999@yahoo.com,,",  ",,",  ","GUILLERMINA TORRES, GUMBERTO CARRIZALES, ALPA PATEL, CARLOS GOMEZ",LOW,ORLANDO,L05000103789
BAYOU BISTRO & TIKI BAR INC,727-612-0069,850CARRENTALS@GMAIL.COM,,",  ",,",  ","HEATHER HEALEY, BRIAN HEALEY, BRIAN HEALEY, DERRICK       B FOSTER, DERRICK       B FOSTER",LOW,TARPON SPRINGS,P19000076724
QUIUBO COLOMBIAN BISTRO LLC,407-802-0339,prontoeataly@gmail.com,,",  ",,",  ","LEIKA MELENDEZ-RIVERO, RADAMES OSORIO-RIVERA, RADAMES OSORIO-RIVERA, JANET FERNANDEZ DIAZ, YUDE ABRAHAM CEDANO",LOW,SAINT CLOUD,L24000070542
HOGGDADDYS BEACH BAR & GRILL LLC,727-240-1179,JHAWKS@HOGGDADDYS.COM,,",  ",,",  ",JEFFREY       L HAWKS,LOW,CLEARWATER,L24000155602
POPS SOUTHERN BUFFET LLC,352-484-5273,tostep67@gmail.com,,",  ",,",  ","TONY          D MACARAGES, TONY          D MACARAGES",LOW,FORT MC COY,L23000196207
BOWL OF FUN LANES LLC,863-773-6391,bowloffunlanes@gmail.com,,",  ",,",  ","STACY CREWS, RANDALL CREWS, STACY CREWS",LOW,WAUCHULA,L23000344568
PEARL OF THE ISLAND CARIBBEAN CUISINE LLC,954-225-4311,wiltonantoine1984@gmail.com,,",  ",,",  ","COISSY NATHALIE, WILTON ANTOINE, WILTON ANTOINE",LOW,MARGATE,L18000160144
