debtor_name,Primary Phone,All Phones,sunbiz_email,city,state,address,zip,num_mcas,enhanced_distress_level
"NEW YORK/ROMA PIZZA & PASTA, CORP.",786-443-4696,786-443-4696,Tomaseuvind@gmail.com,MIAMI,FL,125 SE 2ND AVE,33131,1,LOW
AMERICAN GRACE LLC,561-414-0778,561-414-0778,morganshae21@icloud.com,TRENTON,FL,408 N MAIN ST,32693,1,LOW
PAL' BALCON JSJ BLESSED LLC,215-436-3442,215-436-3442,SADIANY72@GMAIL.COM,KISSIMMEE,FL,48 ORCHID LN,34759,1,LOW
OAK & STONE INC.,407-267-3513,407-267-3513,bgrandison@bergersingerman.com,VANCOUVER,WA,3002 NW 124TH ST,98685,1,LOW
"OASIS ROTISSERIE CHICKEN, LLC",727-226-5117,727-226-5117,VIOLETSANTANA1263@GMAIL.COM,TAMPA,FL,7920 N ARMENIA AVE,33604,1,LOW
"MANASOTA KEY REALTY, INC.",941-474-9536,941-474-9536,davidlipstein@englewoodfl.com,ENGLEWOOD,FL,473 S INDIANA AVE,34223,1,LOW
ELITE PRIVATE DINING LLC,863-512-3538,863-512-3538,Eliteprivatediningkt@gmail.com,WEST PALM BEACH,FL,4420 PORTOFINO WAY #211,33409,1,LOW
REEL CAJUN COOKIN LLC,321-698-7655,321-698-7655,reelcajuncookin@yahoo.com,COCOA,FL,660 TUCKER LN,32926,1,LOW
"AKI E RESTAURANT BAR, INC.",754-210-3181,754-210-3181,Office@menefeeservices.com,HOLLYWOOD,FL,1840 HARRISON STREET,33020,1,LOW
EL SAZON DE PUERTO RICO CORP,786-767-0230,786-767-0230,Michigr27@gmail.com,MIAMI,FL,7070 NW 84TH AVE,33166,1,LOW
NGUYEN TUAN HOANG,303-220-0183,303-220-0183,,CLERMONT,FL,1200 OAKLEY SEAVER DR,34711,1,LOW
"SABOR MARACUCHO, LLC",786-475-0547,786-475-0547,ilbelismorales18@gmail.com,BRADENTON,FL,6820 14TH ST W,34207,1,LOW
"PHO VIET NOODLE HOUSE & RESTAURANT II, INC.",321-837-3737,321-837-3737,LCGREEN561@GMAIL.COM,PALM BAY,FL,5275 BABCOCK ST NE,32905,1,LOW
LA CAFETERA INC,786-260-4096,786-260-4096,rmamin93@gmail.com,HIALEAH,FL,245 WEST 51ST STREET,33012,1,LOW
"EL SAZON DE PUERTO RICO, INC.",786-767-0230,786-767-0230,Michigr27@gmail.com,MIAMI,FL,7070 NW 84TH AVE,33166,1,LOW
"PHO VIET NOODLE HOUSE & RESTAURANT, INC.",321-837-3737,321-837-3737,MAUMOR@GMAIL.COM,PALM BAY,FL,5275 BABCOCK ST NE,32905,1,LOW
"PERDIGON EL SABOR, INC.",813-932-3949,813-932-3949,INGRIS@FCPMIAMI.COM,TAMPA,FL,8548 N DALE MABRY HWY,33614,1,LOW
"HAVANA SPICE, INC.",786-205-9215,786-205-9215,MAVERICKHI2017@YAHOO.COM,HOMESTEAD,FL,30530 S DIXIE HWY,33033,1,LOW
"SOUTHERN STYLE FARMSHACK BAR B QUE, LLC",352-581-9859,352-581-9859,farmshackbbque@gmail.com,OCALA,FL,4111 NW 100TH ST,34482,1,LOW
"BLISS POIGNT, LLC",985-445-5602,985-445-5602,Obscurewine@gmail.com,WINTER HAVEN,FL,276 W CENTRAL AVE.,33880,1,LOW
"JUGO BOSS, LLC",954-773-4300,954-773-4300,Jugobossfl@gmail.com,LIGHTHOUSE POINT,FL,2438 N FEDERAL HWY.,33064,1,LOW
DELICIAS LA PRIMA CORP,786-474-8106,786-474-8106,DOCS@INCAUTHORITY.COM,MIAMI,FL,6825 NORTHWEST 7TH AVENUE,33150,1,LOW
TAQUERIA Y ANTOJITOS EL GUANACO LLC,954-351-0792,954-351-0792,cristinaardon285@gmail.com,OAKLAND PARK,FL,331 NORTHEAST 44TH STREET,33334,1,LOW
FOUR POINT LLC,850-393-7905,850-393-7905,rick5491@yahoo.com,TALLAHASSEE,FL,3596 MOSSY CREEK LANE,32311,1,LOW
LOS HOMIES  LLC,727-421-8884,727-421-8884,loshomies82@gmail.com,PINELLAS PARK FL,FL,7625 49TH ST N,33781,1,LOW
STRAWLICIOUS LLC,407-235-0111,407-235-0111; 407-923-7630,strawliciousllc@gmail.com,ORLANDO,FL,6225 INTERNATIONAL DR A,32819,1,LOW
"EL RINCONSITO DEL SABOR, LLC",407-591-0290,407-591-0290,ashleyangelique2010@hotmail.com,PLANT CITY,FL,3418 W BAKER ST,33563,1,LOW
HONDURAS RESTAURANT LLC,813-781-5516,813-781-5516,ashleyangelique2010@hotmail.com,TAMPA,FL,428 W WATERS AVE,33604,1,LOW
PAIGE'S ROOT BEER INC,352-746-3351,352-746-3351; 352-586-0961,TTAXSERVICES@YAHOO.COM,LECANTO,FL,2147 W NORVELL BRYANT HWY,34461,1,LOW
"VARGO'S BUFFALO STYLE PIZZA, LLC",716-800-5225,716-800-5225,VARGOSPIZZERIA@GMAIL.COM,STEINHATCHEE,FL,806 RIVERSIDE DR,32359,1,LOW
WINDMILL POINT APARTMENTS LLC,407-236-7550,407-236-7550,barrywatson@bellsouth.net,ORLANDO,FL,429 SHADY LN DR,32804,1,LOW
"DELICIAS DE LA ABUELA, INC",561-827-5041,561-827-5041; 561-396-5777,jodystaples.kw@gmail.com,WEST PALM BEACH,FL,740 S MILITARY TRL,33406,1,LOW
DOM PARTNERS LLC,352-572-6083,352-572-6083,tkmcdonald4321@gmail.com,OCALA,FL,304 S MAGNOLIA AVE,34471,1,LOW
"BOB'S FAMOUS BBQ, INC",904-588-5391,904-588-5391,hicks@200firstsreet.com,YULEE,FL,462540 E STATE RD 200,32097,1,LOW
BIG RANDY'S CORPORATION,850-694-1528,850-694-1528; 850-661-0077,Dfordevon@gmail.com,TALLAHASSEE,FL,1875 OAK RIDGE RD E,32305,1,LOW
"EL HABANERO CAFE CUBANO,INC",305-414-3734,305-414-3734,zq@nwpus.com,KEY WEST,FL,2814 N ROOSEVELT BLVD,33040,1,LOW
YAMBO EXPRESS INC,786-470-0046,786-470-0046,REESE.GRANT@NMRK.COM,MIAMI,FL,12005 SW 129TH CT,33186,1,LOW
TYPSY UNICORNS BREWING CO. LLC,386-444-3047,386-444-3047,orders@newbusinessfiling.org,EDGEWATER,FL,2944 JUNIPER DRIVE,32141,1,LOW
JOJOTO STEAK HOUSE LLC,321-695-2481,321-695-2481,Jojoto.steakhouse@gmail.com,KISSIMMEE,FL,507 WEST VINE ST,34741,1,LOW
MR. CREAM NY LLC,917-355-8157,917-355-8157,gogleth2020@gmail.com,MIAMI,FL,4401 NW 87TH AVE UNIT 529,33178,1,LOW
ISLAND BOYZ BBQ LLC,863-255-1588,863-255-1588,islandboyzbbq6@gmail.com,WESLEY CHAPEL,FL,4726 WHITE BAY CIRCLE,33545,1,LOW
SUNSET PALM HOTEL LP,786-436-6362,786-436-6362,ap@wbfinancialadvisors.com,DAVENPORT,FL,44199 HIGHWAY 27,33897,1,LOW
VARGOS BUFFALO STYLE PIZZA LLC,716-800-5225,716-800-5225,,STEINHATCHEE,FL,806 S RIVERSIDE DR,32359,1,LOW
EL BODEGON IBERICO INC,305-562-5727,305-562-5727,ROLLINGSTONEAUTOMOTIVES@YAHOO.COM,CAPE CORAL,FL,110 SOUTHEAST 16TH TERRACE,33990,1,LOW
SMOKIN 407 LLC,407-748-6077,407-748-6077,Ryanstackpole@smokin407.com,SANFORD,FL,1406 SAVOY LN,32771,1,LOW
YEAH HOT DOG LLC,689-322-7922,689-322-7922,pago@gncconsultants.com,ORLANDO,FL,8200 VINELAND AVE,32821,1,LOW
FERNANDEZ LEYVA CORP,786-319-6536,786-319-6536,alyssaneufeld@gmail.com,HOMESTEAD,FL,26400 SW 167TH AVE,33031,1,LOW
TACOS PARADISE INC,239-257-8828,239-257-8828,fastfilingservices@gmail.com,CAPE CORAL,FL,228 TROPICANA PKWY W,33993,1,LOW
"TROPICAL KITCHEN, BAR & GRILL LLC",305-494-8015,305-494-8015,Tropicalkitchen24@yahoo.com,LAUDABLE LAKES,FL,3670 N STATE RD 7,33319,1,LOW
A GEEZ GROUP LLC,239-984-3098,239-984-3098,agallagher@cleaneatz.com,FORT MYERS,FL,8917 GREENWICH HILLS WAY,33908,1,LOW
STROBES CENTER INC.,941-962-6690,941-962-6690,pierrejacqueline@ymail.com,SARASOTA,FL,3251 17TH ST UNIT 210,34235,1,LOW
YAADMAN KITCHEN JAMAICAN RESTAURANT LLC,561-255-4250,561-255-4250,realyaadmankitchen@gmail.com,BOYNTON BEACH,FL,801 N CONGRESS AVE,33426,1,LOW
"EL CONUCO EXPRESS, LLC",850-264-0285,850-264-0285,elconucoexpres@gmail.com,TALLAHASSEE,FL,"26 22 WEST TENNESSEE STREET SUITE, 104",32301,1,LOW
LOS QUESUDOS DE MEDALLO MIDTOWN LLC,786-999-2354,786-999-2354,INFO@LNACCOUNTINGSVC.COM,MIAMI,FL,2419 BISCAYNE BLVD,33137,1,LOW
LOGA COMPANY LLC,689-287-4168,689-287-4168,SINAITAXSERVICES@GMAIL.COM,ORLANDO,FL,12570 WINDY POINTE LOOP,32824,1,LOW
WOODSBY'S CAFE LLC,407-932-2252,407-932-2252,Woodsbyscafe22@gmail.com,KISSIMMEE,FL,4515 SOUTH ORANGE BLOSSOM TRAIL,34746,1,LOW
ZAMAR RESTAURANTS LLC,813-732-7132,813-732-7132; 813-293-2723,Zamarrestaurants@gmail.com,TEMPLE TERRACE,FL,5035 EAST FOWLER AVENUE,33617,1,LOW
"SHEN'S PEKING II RESTAURANT, INC.",561-482-1086,561-482-1086,idillon@comcast.net,BOCA RATON,FL,9228 GLADES RD,33434,1,LOW
SURLY SIREN SALOON LLC,702-918-4546,702-918-4546,surlysirensaloon@gmail.com,KEY WEST,FL,308 FRONT ST 2ND FLOOR,33040,1,LOW
JD RICKETTS GROUP LLC,203-578-7795,203-578-7795,,MIAMI GARDENS,FL,19801 NW 27TH AVE STE D,33056,1,LOW
JONAS' KITCHEN LLC,239-357-5700,239-357-5700,heather.desanto7@gmail.com,FORT MYERS,FL,"3040 OASIS GRAND BLVD, APT 1000",33916,1,LOW
LATIN BOWL RESTAURANT INC,813-446-8207,813-446-8207,Hypecentral305@gmail.com,LARGO,FL,11500 WALSINGHAM RD,33778,1,LOW
THE TWO BROTHERS FL LLC,786-859-5657,786-859-5657,ferdinand@miamitg.com,HOLLYWOOD,FL,524 N DIXIE HWY,33020,1,LOW
PARRILLADA CASA AMIGOS LLC,561-404-3022,561-404-3022,dorian.businessabs@gmail.com,PALM SPRINGS,FL,4469 S CONGRESS AVE STE 110,33461-4726,1,LOW
ALPHA & COISE ENTERPRISE LLC,850-339-6632,850-339-6632,alphacoise@gmail.com,TALLAHASSEE,FL,8140 BLOYS CT,32312,1,LOW
BIG G MANAGEMENT LLC,352-454-2686,352-454-2686,flippedbybgm@gmail.com,LECANTO,FL,599 WEST KUHNS LANE,34461,1,LOW
"EZ EATS , LLC",724-498-7777,724-498-7777; 321-830-6866,Eliezeats@gmail.com,ORLANDO,FL,18 N. DOLLINS AVE.,328052140,1,LOW
YBC FOOD SERVICE LLC,954-934-5700,954-934-5700,BMG10406412@GMAIL.COM,OAKLAND PARK,FL,3580 NORTHEAST 12TH AVENUE,33334,1,LOW
THEE BURGER SPOT LLC,813-993-3926,813-993-3926,Elcaminoislow@aol.com,TAMPA,FL,3917 NORTH TAMPA STREET,33603,1,LOW
SEAFOAM DREAMS VACATIONS LLC,850-320-2994,850-320-2994,mezmriz1987@yahoo.com,DESTIN,FL,611 LEGION DR,32541,1,LOW
WEEKI WACHEE CANDY COMPANY,813-598-6786,813-598-6786,AKHAVEINE@YAHOO.COM,SPRING HILL,FL,4149 MARINER BOULEVARD #141,34609,1,LOW
SHAWARMAS TO GO LLC,689-333-8959,689-333-8959,MAGALYNFMS@GMAIL.COM,ORLANDO,FL,2116 WHISPER LAKES BLVD,32837,1,LOW
BRAPPIN CRABS LLC,407-267-7746,407-267-7746,,ORLANDO,FL,9328 MOSS PRESERVE PARKWAY,32832,1,LOW
LUXE PERSONAL CHEF & CATERING LLC,850-321-2495,850-321-2495,,TALLAHASSEE,FL,6600 REIGH COUNT TRAIL,32309,1,LOW
OSECHA GROUP LLC,786-973-3908,786-973-3908,apassotaxservices@gmail.com,MIAMI,FL,34 NW 29 ST,33127,1,LOW
ISLAND CUISINE RESTAURANT,954-648-4020,954-648-4020,,WILTON MANORS,FL,1913 N ANDREWS AVE,33311,1,LOW
ISLAND TIME MARINA LLC,321-274-7104,321-274-7104,carolann@taylorlockard.com,COCOA BEACH,FL,400 WEST COCOA BEACH CSWY COCOA BEACH,32931,1,LOW
EL RINCONCITO LATINO RESTAURANT CAFETERIA INC,786-636-8092,786-636-8092,state@businessfilingsdepot.com,MIAMI,FL,10700 SW 110 TERRACE,33176,1,LOW
"NENA'S WINGS & THINGS, LLC",407-217-4473,407-217-4473,nenas.wings.things@outlook.com,UMATILLA,FL,26168 SE 159TH LN,32784,1,LOW
G'S WINGS N THINGS LLC,631-633-6635,631-633-6635,geeswingsnthings@gmail.com,RIVERVIEW,FL,11759 WINTERSET COVE DR,33579,1,LOW
"HOOKED ON JUPITER, LLC",561-203-2301,561-203-2301,arthur@b-hooked.com,JUPITER,FL,337 EAST INDIANTOWN ROAD E 10,33477,1,LOW
"LEICESTERMORE CAPITAL, LLC",561-837-1972,561-837-1972,jcm@leicestermorecapital.com,JUPITER,FL,5500 MILITARY TRL # 22-394,33458,1,LOW
UPPERTEA LLC,305-409-6566,305-409-6566,info@uppertea305.com,MIAMI,FL,4055 NORTHWEST 17TH AVENUE,33142,1,LOW
"MAJOR UNIVERSAL LODGING, LLC",407-312-6551,407-312-6551,alpie999@yahoo.com,ORLANDO,FL,5621 MAJOR BLVD.,32819,1,LOW
BAYOU BISTRO & TIKI BAR INC,727-612-0069,727-612-0069,850CARRENTALS@GMAIL.COM,TARPON SPRINGS,FL,607 ISLAND DR.,34689,1,LOW
QUIUBO COLOMBIAN BISTRO LLC,407-802-0339,407-802-0339,prontoeataly@gmail.com,SAINT CLOUD,FL,1710 EAST IRLO BRONSON MEMORIAL HIGHWAY,34771,1,LOW
HOGGDADDYS BEACH BAR & GRILL LLC,727-240-1179,727-240-1179,JHAWKS@HOGGDADDYS.COM,CLEARWATER,FL,752 S GULFVIEW BLVD,33767,1,LOW
POPS SOUTHERN BUFFET LLC,352-484-5273,352-484-5273,tostep67@gmail.com,FORT MC COY,FL,25011 NE HWY 314,32134,1,LOW
BOWL OF FUN LANES LLC,863-773-6391,863-773-6391,bowloffunlanes@gmail.com,WAUCHULA,FL,943 S 6TH AVE,33873,1,LOW
PEARL OF THE ISLAND CARIBBEAN CUISINE LLC,954-225-4311,954-225-4311,wiltonantoine1984@gmail.com,MARGATE,FL,1490 FL-7,33063,1,LOW
"THEE BURGER SPOT, LLC",813-993-3926,813-993-3926,Elcaminoislow@aol.com,TAMPA,FL,3917 N TAMPA ST,33603,1,LOW
"WARREN NAPLES, LLC",954-383-9466,954-383-9466,jarred@damngoodhospitality.com,NAPLES,FL,111 10TH ST S #104,34102,1,LOW
MUSASHI LOUNGE LLC,407-326-8484,407-326-8484,incorporation@medeirossouza.com,ORLANDO,FL,7065 WESTPOINTE BLVD,32835,1,LOW
ELEVATOR NEEDZ LLC,772-900-7524,772-900-7524,elevatorneedz@gmail.com,PORT SAINT LUCIE,FL,2735 SW BUCKHART ST,34953,1,LOW
"THE SALTY DONKEY, II, LLC",850-251-4951,850-251-4951,chad@heckmanlawgroup.com,PANACEA,FL,99 ROCK LANDING RD,32346,1,LOW
GALLI ENTERPRISE LLC,508-864-6064,508-864-6064,gallienterprisellc@gmail.com,LAKEWOOD RANCH,FL,13233 SAW PALM CREEK TRAIL,34211,1,LOW
CICALA'S PIZZERIA & RESTAURANT LLC,813-562-6769,813-562-6769,cicalaspizzeria@gmail.com,LAKELAND,FL,2977 DUFF RD,33810,1,LOW
MOTORWORKS BREWING LLC,772-216-3818,772-216-3818,owner@motorworksbrewing.com,BRADENTON,FL,1014 9TH ST W,34205,1,LOW
BEACHCOMBER TRADING POST RESTAURANT LLC,941-460-8580,941-460-8580,carol.hagemann@att.net,ENGLEWOOD,FL,1927 BEACH RD,34223,1,LOW
"GAMORALES, LLC",305-332-9689,305-332-9689,bigpapo_8@yahoo.com,MIAMI,FL,1805 SANS SOUCI BLVD,33181,1,LOW
"BANANA WIND BAR AND GRILL, LLC",352-424-2930,352-424-2930,compliance@zenbusiness.com,ZEPHYRHILLS,FL,5536 GALL BLVD,33542,1,LOW
SOUL SICILIAN FUSION LLC,831-261-9588,831-261-9588,natalyaca@yahoo.com,CLEARWATER,FL,516 CLEVELAND ST,33755,1,LOW
SAN AGUSTIN BAKERY LLC,407-557-6045,407-557-6045,normanrodriguez870@gmail.com,DAVENPORT,FL,2564 UNIT 5B,33897,1,LOW
PHATZ SPORTS BAR & GRILLE LLC,772-237-9719,772-237-9719,SIGSALON@AOL.COM,FORT PIERCE,FL,421 US HIGHWAY 1,34950,1,LOW
EL RINCONCITO SUPERLATINO III,786-301-3761,786-301-3761,SCOTT.FALLICK@GMAIL.COM,CUTLER BAY,FL,"20290 OLD CUTLER RD, CUTLER BAY",33189,1,LOW
TEMAK HOUSE FLORIDA,786-281-3656,786-281-3656,ERIC@X-MGMT.COM,DEERFIELD,FL,420 W HILSSBORO,33441,1,LOW
LA OAXAQUENA TAQUERIA AND GROCERY STORE INC,239-860-0858,239-860-0858,kriswelburn@hotmail.com,NAPLES,FL,2795 DAVIS BLVD,34104-4360,1,LOW
K SHARS LLC,904-597-8947,904-597-8947,Ksharsllc27@gmail.com,JACKSONVILLE,FL,6772 MORSE GLEN LN,32244,1,LOW
EL 809 SUPERMARKET LLC,813-486-0038,813-486-0038,809loungetampa@gmail.com,TAMPA,FL,3710 WEST WATERS AVENUE,33614,1,LOW
IRIE DINER,786-683-8437,786-683-8437,,ORANGE PARK,FL,1177 PARK AVE,32073,1,LOW
CHI KIN WINDERMERE LLC,407-702-0252,407-702-0252,windermere@chi-kin.com,WINDERMERE,FL,5845 WINTER GARDEN VINELAND ROAD,34786,1,LOW
RP FOOD GROUP INCORPORATED,850-486-0136,850-486-0136,FORMULA1JCJD@GMAIL.COM,LAKE WALES,FL,612 STATE ROAD 60,33853,1,LOW
SKY COFFEE BUENOS AIRES,305-910-4745,305-910-4745,ONLINEFILINGS@LEGALZOOM.COM,MIAMI,FL,701 BRICKELL KEY BLVD APT201,33131,1,LOW
BUCKS COAL FIRED LLC,561-632-5191,561-632-5191,BUCKSCOALFIRED@GMAIL.COM,NORTH PALM BEACH,FL,900 NORTHLAKE,33408,1,LOW
LALAS BURGERS AND FRIES,305-613-9111,305-613-9111; 786-302-9693,,MIAMI,FL,7360 SW 41ST,33155,1,LOW
218 NSB LLC,720-234-5694,720-234-5694,FILINGS@API.LAW,NEW SMYRNA BEACH,FL,431 CANAL STREET UNIT B,32168,1,LOW
SABOR VENEZOLANO ORLANDO CORP,786-301-2851,786-301-2851,GREG@GREGORYCREVECOEUR.COM,ORLANDO,FL,2132 WHISPER LAKES BLVD,32837,1,LOW
ATLAS DOCK SWFL LLC,239-350-8684,239-350-8684,ATLASSDOCKSWFL@GMAIL.COM,NAPLES,FL,5270 TREETOPS DRIVE,34113,1,LOW
GENERAL HORSEPLAY,305-849-0930,305-849-0930,kevin@zuelchaccounting.com,KEY WEST,FL,423 CAROLINE STREET,33040,1,LOW
KOI CAFE LLC,407-534-3960,407-534-3960,Linda@koicafefla.com,VENICE,FL,806 PINEBROOK RD,34285,1,LOW
NV EATS ENTERPRISE LLC,843-424-3661,843-424-3661,info@actaxaccounting.com,FT MYERS,FL,13903 HUNTER OAK DR,33913,1,LOW
THE GETAWAY TAMPA BAY LLC,813-267-1602,813-267-1602,scotttashkin@gmail.com,SAINT PETERSBURG,FL,13090 GANDY BLVD,33710,1,LOW
SOUNDSIDE FWB LLC,850-259-3541,850-259-3541,soundsidefwb@gmail.com,FORT WALTON BEACH,FL,189 BROOKS STREET SE,32548,1,LOW
PAPA BRAZI LLC,239-223-5192,239-223-5192,papabrazifood@gmail.com,FORT MYERS,FL,3351 FOWLER ST,33901,1,LOW
"THE BUTCHER AND THE BAR, LLC",561-374-2750,561-374-2750,info@butcherandbar.com,BOYNTON BEACH,FL,510 E OCEAN AVE #101,33435,1,LOW
CHIA CHI LLC,561-597-3216,561-597-3216,confirmation@ivy-cpa.com,MIRAMAR,FL,6330 MIRAMAR PKWY,33023,1,LOW
VIBRAS HEALTHY SPOT INC,786-818-4673,786-818-4673,mcarrigan31@yahoo.com,DORAL,FL,7835 NORTHWEST 107TH AVENUE,33178,1,LOW
RP PALM BEACH LLC,561-296-7699,561-296-7699,jason@jasonhamilton.ink,WEST PALM BEACH,FL,309 CLEMATIS ST,33401,1,LOW
TACO TUESDAYS TAQUERIA LLC,561-330-4912,561-330-4912,ashley@ptsfla.com,PALM BEACH GARDENS,FL,2 DUNBAR RD,33418,1,LOW
NEW YORK BAKERY BOYS OVIEDO,347-738-3877,347-738-3877,bbnyoviedo@gmail.com,OVIEDO,FL,2960 W STATE ROAD 426,32765,1,LOW
PIZZA HEAVEN INC,863-763-9299,863-763-9299; 954-612-2214,Pizzaheavenaka@gmail.com,OKEECHOBEE,FL,208 S PARROTT AVE,34974,1,LOW
MOE GRILLING LLC,561-890-4141,561-890-4141,MOESGRILL2024@GMAIL.COM,RIVIERA BEACH,FL,1665 MARTIN LUTHER KING JR. BOULEVARD,33404,1,LOW
DOWNTOWN CELLARS LLC,954-661-8582,954-661-8582,,FORT PIERCE,FL,121 MELODY LANE,34950,1,LOW
ZJF BRANDS 2 LLC,727-754-4727,727-754-4727,Karen@tfg.ventures,DUNEDIN,FL,487 MAIN STREET,34698,1,LOW
CANTINA MEXICAN GRILL & BAR,850-264-5525,850-264-5525,yecid1317@gmail.com,TAMPA,FL,10032 CROSS CREEK BOULEVARD,33647,1,LOW
MARCS CUISINE,954-990-4360,954-990-4360,,OAKLAND PARK,FL,1201 NE 38TH STREET STE A-1B,33334,1,LOW
27WYNF&D LLC,786-979-3056,786-979-3056,chefejecutivobenitojuarez@gmail.com,MIAMI,FL,295 NW 27TH ST,33127-4121,1,LOW
HISPANIC BUSINESS LLC,786-816-6246,786-816-6246,apatino@creaticmiami.com,MIAMI,FL,8620 NW 70 STREET,33166,1,LOW
ENSENADA MIAMI LLC,646-436-9138,646-436-9138,david@grandand.co,MIAMI,FL,7301 BISCAYNE BOULEVARD,33138,1,LOW
WORLD FAMOUS NUNUS SWEET SOULFOOD 23 LLC,772-828-3144,772-828-3144,leviedixon2345@gmail.com,FORT PIERCE,FL,3210 ORANGE AVE,34947,1,LOW
TWO SISTERS AND A DEVILED CRAB,904-536-5943,904-536-5943,info@2sistersjax.com,ORANGE PARK,FL,3973 ARBOR MILL CIRCLE,32065,1,LOW
CLANCYS CANTINA INC,386-314-6313,386-314-6313,,NEW SMYRNA BEACH,FL,301 FLAGLER AVE,32169,1,LOW
EUPHORIA BAR AND GRILL LLC,305-494-5589,305-494-5589,EUPHORIADAYTONABEACH@GMAIL.COM,DAYTONA BEACH,FL,1130 SOUTH RIDGEWOOD AVENUE,32114,1,LOW
LA PETITE CUISINE MIAMI LLC,786-247-1381,786-247-1381,Lapetitecuisinemiami@gmail.com,MIAMI BEACH,FL,1540 MERIDIAN AVE APT 2H,33139,1,LOW
KOREA TOWN FOOD LLC,954-579-4525,954-579-4525,KOREATOWNFOOD@GMAIL.COM,PLANTATION,FL,8000 WEST BROWARD BOULEVARD FC02 (K-TOWN),33388,1,LOW
AL BARRIL FL LLC,407-624-6291,407-624-6291,alexander.bustos@bandjprojects.com,WINDERMERE,FL,7406 BENTONSHIRE AVE,34786,1,LOW
OVERRICE LLC,386-416-9030,386-416-9030,,ORLANDO,FL,1037 HERMAN AVE,32803,1,LOW
LEMONI CAFE,305-571-5090,305-571-5090,sandifurstein@yahoo.com,MIAMI,FL,4600 NE 2 AVE SUITE 8,33137,1,LOW
BROTHER FOX SISTER HEN LLC,615-414-9626,615-414-9626,John@CookedBooksTN.com,PENSACOLA,FL,415 N ALCANIZ ST.,32501,1,LOW
305 GRILL LLC,305-479-9881,305-479-9881,chefnorrie@gmail.com,PANAMA CITY BEACH,FL,842 PELICAN PLACE,32407,1,LOW
MERKADO 31 CORP,305-494-8308,305-494-8308,KEYLIME@TAMPABAY.RR.COM,NORTH MIAMI BEACH,FL,1127 NORTHEAST 163RD STREET,33162,1,LOW
TEQUIZTLAN MEXICAN RESTAURANT AND TEQUILA BAR LLC,305-397-8442,305-397-8442,jortiz@tequiztlan.com,MIAMI BEACH,FL,1884 BAY RD,33139,1,LOW
KIM-CHI GRILL LLC,305-215-5247,305-215-5247,Reelfishin24@gmail.com,BONITA SPRINGS,FL,11180 SAN SEBASTIAN LN,34135-5307,1,LOW
KUBA CABANA BAYSIDE LLC,201-452-9559,201-452-9559,DGARRETSON@GARRETSONGRP.COM,MIAMI,FL,401 BISCAYNE BLVD #1085,33132,1,LOW
PIEHOLE WOOD FIRED PIZZA LLC,440-541-6844,440-541-6844,mwholdings.florida@gmail.com,PORT ST LUCIE,FL,7240 SOUTH US HIGHWAY 1,34952,1,LOW
CRAFT LITTLE HAVANA LLC,786-564-5873,786-564-5873,federico@bluemaxp.com,MIAMI,FL,2100 SW 8TH ST,33135,1,LOW
MARIOS FAMILY RESTAURANT INC,305-224-3648,305-224-3648; 305-247-2470,mwb_miami@yahoo.com,HOMESTEAD,FL,1090 N HOMESTEAD BLVD,33030,1,LOW
BYTE AND COFFEE LLC,954-218-7559,954-218-7559,catherine@bytencoffee.com,LIGHTHOUSE POINT,FL,2729 NE 30TH AVE,33064-8228,1,LOW
THE BRIDGES CAFE LLC,561-404-9255,561-404-9255,gotdrinks@gmail.com,DELRAY BEACH,FL,16701 CABERNET DRIVE,33446,1,LOW
TASTY LEMON LLC,407-496-8052,407-496-8052,luisprezfl@gmail.com,KISSIMMEE,FL,3831 WEST VINE STREET STE 52,34741,1,LOW
SUNNYSIDE CAFE INC,941-359-9500,941-359-9500; 321-482-1880,SBRAZELL89@GMAIL.COM,MELBOURNE BEACH,FL,300 OCEAN AVENUE SUITE 11,32951,1,LOW
EL EMPANADAZO INC,561-503-1640,561-503-1640,GOYO.PEREZ2012@GMAIL.COM,GREENACRES,FL,3613 SOUTH MILITARY TRAIL,33463,1,LOW
LA ROMANITA RESTAURANT AND LOUNGE,305-305-5648,305-305-5648,LENAPROCESSINGSERVICES@GMAIL.COM,MIRAMAR,FL,3026 SW 68 AVE,33023,1,LOW
FOOD RESTAURANT GROUP LLC,941-266-0300,941-266-0300,justinrbay614@gmail.com,SARASOTA,FL,4519 NORTHGATE CT,34234,1,LOW
CASA MASA TOGO LLC,516-308-8572,516-308-8572,robsclosing@gmail.com,SARASOTA,FL,2773 BEE RIDGE RD,34239,1,LOW
GYROS2GO LLC,862-222-5478,862-222-5478,info@gyros2go.com,SAN CARLOS PARK,FL,9160 CYPRESS DRIVE SOUTH,33967,1,LOW
ENTERTAINMENT WORLDWIDE LLC,407-732-4316,407-732-4316,rkennerney@gmail.com,SANFORD,FL,418 SANFORD AVENUE,32771,1,LOW
BAGEL BOYZ INC.,561-346-7985,561-346-7985,obrien22051@aol.com,PALM BEACH GARDENS,FL,15730 84TH AVENUE NORTH,33410,1,LOW
JAYS STEAKHOUSE FTL LLC,305-789-2766,305-789-2766,JAY@YESFBM.COM,BOCA RATON,FL,6600 WEST ROGERS CIRCLE,33487,1,LOW
ASANI RESTAURANT GROUP 2 LLC,727-289-4198,727-289-4198,buttermilkeat2@gmail.com,PINELLAS PARK,FL,7054 US HIGHWAY 19 NORTH,33781,1,LOW
